feature;mri
cap-shape;-0.605588783092766
cap-surface;-0.5483393794167244
cap-color;-1.4764016556385458
bruises;0.2123179412457854
odor;-0.4146580755432865
gill-attachment;0.8408878245241487
gill-spacing;0.4625038021399339
gill-size;0.33728036476075485
gill-color;-1.6158936430024546
stalk-shape;0.01967571035938731
stalk-root;-0.6896789496514844
stalk-surface-above-ring;0.0625038442724627
stalk-surface-below-ring;-0.12829176869033732
stalk-color-above-ring;-0.6845338283786655
stalk-color-below-ring;-0.7383677240227298
veil-type;1.0
veil-color;0.8274178557700379
ring-number;0.6174159160757876
ring-type;-0.21823547623014994
spore-print-color;-0.7241293926697212
population;-0.8031208411149902
habitat;-1.119889551672249